timestamp,test-class,test-method,time,description,result
2021-12-13 12:57:52.503,acme.testing.SignUpTest,positiveSignUp,8778,"[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com",OK
2021-12-13 12:57:59.384,acme.testing.SignUpTest,positiveSignUp,6286,"[2] username=lorraine, password=lorraine, name=Lorraine, surname=Williams, email=lorraine@yellow-house.com",OK
2021-12-13 12:58:09.204,acme.testing.SignUpTest,positiveSignUp,9206,"[3] username=leslie, password=leslie, name=Leslie Marti, surname=Ramport, email=leslie@us.es",OK
2021-12-13 12:58:19.027,acme.testing.SignUpTest,positiveSignUp,9257,"[4] username=robert, password=robert, name=Robert, surname=Johnson, email=robert@mail.server.com",OK
2021-12-13 12:58:29.482,acme.testing.SignUpTest,positiveSignUp,9877,"[5] username=pepeluis, password=pepeluis, name=José Luis, surname=Sørensen, email=ppepe.sorensen@sweden.sw",OK
2021-12-13 12:58:39.265,acme.testing.SignUpTest,positiveSignUp,9233,"[6] username=luisa, password=luisa, name=Luisa, surname=Martínez López, email=luisa@luisa.name",OK
2021-12-13 12:58:48.574,acme.testing.SignUpTest,positiveSignUp,8720,"[7] username=lukas, password=lukas, name=Lukas, surname=Smith, email=lukas@mail.com",OK
2021-12-13 12:58:58.068,acme.testing.SignUpTest,positiveSignUp,8912,"[8] username=mary-dt, password=mary-dt, name=Mary, surname=Design-Testing, email=mary@email.com",OK
2021-12-13 12:59:07.804,acme.testing.SignUpTest,positiveSignUp,9140,"[9] username=jorge, password=jorge, name=Jorge, surname=Libertad, email=jorge@yahoo.com",OK
2021-12-13 12:59:17.586,acme.testing.SignUpTest,positiveSignUp,9170,"[10] username=sonia, password=sonia, name=Snojia Guðrún, surname=Þor-Anaïs, email=sonja@liberty.de",OK
2021-12-13 12:59:26.794,acme.testing.SignUpTest,positiveSignUp,8629,"[11] username=parker, password=parker, name=Parker Sigurður, surname=Mañón-Perigüeñez, email=parker@outlook.com",OK
2021-12-13 12:59:36.561,acme.testing.SignUpTest,positiveSignUp,9139,"[12] username=manolo, password=manolo, name=Manuel Raúl, surname=Benítez López, email=manolo@engineer.com",OK
